,product_uid,color
30,100002.0,Browns / Tans
31,100002.0,Tugboat
58,100003.0,White
59,100003.0,White
114,100005.0,Chrome
115,100005.0,Chrome
155,100006.0,Stainless Steel
156,100006.0,Stainless
198,100007.0,Black
199,100007.0,Black
251,100009.0,White
278,100010.0,Metallic
279,100010.0,Silver/Gray
350,100012.0,Tan
351,100012.0,Caramel
352,100012.0,Browns/Tans
358,100012.0,Fruitwood
386,100013.0,Black
387,100013.0,Black
417,100015.0,Tan
418,100015.0,Bamboo Tan
439,100016.0,Blacks
475,100018.0,White
488,100019.0,White
489,100019.0,White
507,100020.0,White
510,100020.0,White
535,100021.0,Blacks
572,100022.0,White
573,100022.0,White
613,100023.0,Gray
656,100026.0,Tan
657,100026.0,Tan Variegated
689,100028.0,Tan
690,100028.0,Tan
707,100029.0,Whisper
725,100030.0,White
726,100030.0,White
739,100031.0,Assorted Colors
752,100032.0,Gray
753,100032.0,Gray
794,100035.0,Champagne
795,100035.0,Metallics
816,100036.0,White
817,100036.0,White
831,100037.0,Black
832,100037.0,Black
863,100038.0,Orange
921,100040.0,White
922,100040.0,White
950,100041.0,Metallic
953,100041.0,SILVER
979,100042.0,Tan
980,100042.0,Bone
1006,100043.0,Gray
1023,100044.0,White
1065,100046.0,Green
1066,100046.0,Green
1132,100049.0,White
1159,100050.0,Unfinished
1160,100050.0,Bare
1185,100051.0,Blue
1186,100051.0,Sky Blue
1205,100052.0,Beige
1207,100052.0,Beige
1213,100052.0,Bronze
1250,100054.0,White
1251,100054.0,Prefinished white
1286,100055.0,Stainless Steel
1287,100055.0,Spot Resist Stainless
1358,100058.0,White
1359,100058.0,Whites
1377,100059.0,Blue
1378,100059.0,Dark Blue
1397,100060.0,White
1455,100063.0,Clear
1479,100064.0,Red/Orange
1480,100064.0,Cherry
1513,100065.0,White
1514,100065.0,White
1614,100069.0,Reds / Pinks
1638,100070.0,White
1641,100070.0,White Metal
1668,100071.0,White
1669,100071.0,White Primer
1688,100072.0,Blues
1700,100073.0,Red
1701,100073.0,Red and Black
1730,100074.0,Multi-Colored
1731,100074.0,Beige
1766,100075.0,Gray
1767,100075.0,Driftwood
1772,100075.0,Driftwood
1803,100076.0,Brown
1804,100076.0,Wood
1861,100078.0,Tan
1862,100078.0,Natural / Brown
1893,100079.0,Black
1894,100079.0,Stainless Steel
1895,100079.0,Stainless Steel
1896,100079.0,Stainless
1958,100081.0,White
1959,100081.0,White
1992,100082.0,Black Metal/Slate
1993,100082.0,Black
2027,100084.0,green
2052,100085.0,White
2053,100085.0,White
2054,100085.0,Beiges/Bisques/Creams
2060,100085.0,White
2097,100086.0,Browns / Tans
2098,100086.0,Tan
2203,100090.0,White
2204,100090.0,White
2278,100092.0,Clear
2310,100093.0,Red
2407,100095.0,Gray
2408,100095.0,Stainless Steel/Gray
2409,100095.0,Stainless
2439,100096.0,White
2479,100097.0,Red
2480,100097.0,Dragonfruit
2505,100098.0,Blue
2516,100099.0,Black
